symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B
PAPSS2,-0.4271007192464138,6.793811366992172,-2.652006147260895,0.00819817155367701,0.04086131555421859,-2.8442361718940004
HTATSF1,-0.23552270110186407,7.101464774849761,-2.6515758663687223,0.008208509945702068,0.04088976866353111,-2.845321169417563
PLA2G1B,-0.09662246717547776,3.14545407422691,-2.651001656837828,0.008222324738018143,0.040935497230088075,-2.8467688297206966
LIPC,0.06971460102902696,2.8291987736611732,2.650776033242078,0.00822775867552299,0.04093947302660228,-2.847337573606134
CYHR1,-0.16241718140005756,4.937465184955649,-2.6504531579832684,0.008235540433089274,0.04095511999157909,-2.848151383688658
ATP2A2,-0.20382986072245995,6.469086411826162,-2.649802912350083,0.008251232324202029,0.04100678659050402,-2.8497900397205957
SYCP1,0.1495800218589236,3.07238172767278,2.6496380174506977,0.008255215869329273,0.04100678659050402,-2.8502055217827773
SLC16A1,0.3312321352534568,4.962506622819977,2.649190955968655,0.008266024697881872,0.041037397488303935,-2.8513318456309578
YWHAQ,-0.20038667568536994,9.302664491132973,-2.6488714558090276,0.008273757187674959,0.04105270982109283,-2.8521366784548903
TM9SF2,-0.20154598470317,9.110296213238387,-2.648456055000704,0.008283820348859987,0.04107956278558754,-2.853182946690798
STXBP1,0.25067772137828903,5.300535049617149,2.6477922597356334,0.008299923697071271,0.041136322161915526,-2.85485451199344
ZNF529,-0.14045510187624707,4.065401776020805,-2.6466109557062105,0.008328650999961487,0.04125554998971388,-2.8578282516288325
LEFTY2,0.15469200308851552,3.040730753502603,2.6459437349947352,0.008344916042728646,0.04131294758373285,-2.859507297283294
MGAT2,-0.17902693483098248,6.944414467360183,-2.645402764925844,0.008358124336177048,0.041332993946009845,-2.8608683322560853
